This data is .....

<data below>

2.468E+0	-0.000E+0	3.210E-4
2.493E+0	-8.802E-9	2.197E-3
2.523E+0	-1.756E-8	2.831E-4
2.560E+0	9.465E-9	1.028E-4
2.601E+0	1.133E-7	7.594E-4
2.473E+0	-2.936E-7	3.984E-3
2.483E+0	-3.698E-7	5.295E-3
2.493E+0	-4.313E-7	7.291E-4
2.502E+0	-4.786E-7	1.179E-3
2.510E+0	-5.104E-7	4.598E-4
2.514E+0	-5.713E-7	5.463E-3
2.513E+0	-7.091E-7	6.860E-3
2.505E+0	-1.013E-6	4.487E-4
2.443E+0	-2.730E-6	3.285E-4
2.438E+0	-3.311E-6	1.033E-4
2.428E+0	-4.131E-6	8.398E-4
2.415E+0	-5.190E-6	8.812E-4
2.396E+0	-6.666E-6	3.758E-4
2.372E+0	-8.617E-6	1.035E-5
2.341E+0	-1.125E-5	4.891E-4
2.304E+0	-1.464E-5	7.215E-4
2.261E+0	-1.893E-5	2.948E-3
2.390E+0	-1.159E-5	2.983E-3
2.380E+0	-1.345E-5	7.520E-4
2.370E+0	-1.549E-5	3.538E-5
2.360E+0	-1.773E-5	7.141E-4
2.353E+0	-1.987E-5	7.878E-4
2.348E+0	-2.196E-5	4.793E-4
2.348E+0	-2.362E-5	7.561E-4
2.357E+0	-2.422E-5	2.761E-4
2.419E+0	-1.772E-5	1.079E-3
2.425E+0	-1.807E-5	2.804E-4
2.434E+0	-1.790E-5	1.256E-3
2.448E+0	-1.679E-5	1.542E-3
2.466E+0	-1.476E-5	4.224E-4
2.490E+0	-1.132E-5	2.338E-4
2.520E+0	-6.261E-6	6.684E-4
2.557E+0	8.357E-7	2.586E-4
2.599E+0	9.800E-6	1.995E-4
2.472E+0	-1.808E-5	3.222E-4
2.482E+0	-1.667E-5	5.734E-4
2.492E+0	-1.504E-5	6.701E-4
2.502E+0	-1.319E-5	2.214E-5
2.510E+0	-1.165E-5	4.033E-4
2.515E+0	-1.078E-5	2.714E-4
2.514E+0	-1.157E-5	2.492E-5
2.507E+0	-1.427E-5	1.527E-4
2.444E+0	-3.536E-5	2.407E-4
2.438E+0	-3.891E-5	2.999E-5
2.429E+0	-4.373E-5	3.740E-5
2.416E+0	-5.031E-5	5.887E-5
2.398E+0	-5.923E-5	3.404E-4
2.373E+0	-7.151E-5	1.425E-4
2.343E+0	-8.668E-5	3.837E-5
2.307E+0	-1.054E-4	1.335E-4
2.264E+0	-1.285E-4	4.849E-5
2.391E+0	-7.463E-5	5.247E-6
2.381E+0	-8.210E-5	6.468E-5
2.370E+0	-9.045E-5	8.235E-5
2.360E+0	-9.871E-5	3.208E-6
2.352E+0	-1.063E-4	1.483E-5
2.347E+0	-1.126E-4	3.512E-5
2.346E+0	-1.169E-4	1.172E-4
2.354E+0	-1.160E-4	1.013E-5
2.419E+0	-8.061E-5	2.305E-5
2.424E+0	-8.005E-5	1.727E-5
